Sex;Autonomous Communities;Measurements and percentiles;Periodo;Total
Both genders;Madrid, Comunidad de;25th Percentile;2015;14.359,3
Both genders;Madrid, Comunidad de;25th Percentile;2014;14.275,72
Both genders;Madrid, Comunidad de;25th Percentile;2013;14.117,55
Both genders;Madrid, Comunidad de;25th Percentile;2012;14.323,48
Both genders;Madrid, Comunidad de;25th Percentile;2011;14.192,74
Both genders;Madrid, Comunidad de;25th Percentile;2010;14.604,68
Both genders;Madrid, Comunidad de;25th Percentile;2009;14.205,96
Both genders;Madrid, Comunidad de;25th Percentile;2008;13.915,75
Both genders;Madrid, Comunidad de;50th Percentile;2024;28.037,75
Both genders;Madrid, Comunidad de;50th Percentile;2023;26.100,08
Both genders;Madrid, Comunidad de;50th Percentile;2022;25.203,47
Both genders;Madrid, Comunidad de;50th Percentile;2021;24.090,61
Both genders;Madrid, Comunidad de;50th Percentile;2020;23.231,04
Both genders;Madrid, Comunidad de;50th Percentile;2019;22.262,74
Both genders;Madrid, Comunidad de;50th Percentile;2018;21.477,88
Both genders;Madrid, Comunidad de;50th Percentile;2017;21.608,08
Both genders;Madrid, Comunidad de;50th Percentile;2016;21.165
Both genders;Madrid, Comunidad de;50th Percentile;2015;21.307,78
Both genders;Madrid, Comunidad de;50th Percentile;2014;21.579,38
Both genders;Madrid, Comunidad de;50th Percentile;2013;21.273,89
Both genders;Madrid, Comunidad de;50th Percentile;2012;21.418,48
Both genders;Madrid, Comunidad de;50th Percentile;2011;21.045,69
Both genders;Madrid, Comunidad de;50th Percentile;2010;21.319,25
Both genders;Madrid, Comunidad de;50th Percentile;2009;20.712,42
Both genders;Madrid, Comunidad de;50th Percentile;2008;20.269,59
Both genders;Madrid, Comunidad de;75th Percentile;2024;43.598
Both genders;Madrid, Comunidad de;75th Percentile;2023;40.977,46
Both genders;Madrid, Comunidad de;75th Percentile;2022;39.260,5
Both genders;Madrid, Comunidad de;75th Percentile;2021;37.441,93
Both genders;Madrid, Comunidad de;75th Percentile;2020;36.697,27
Both genders;Madrid, Comunidad de;75th Percentile;2019;35.519,71
Both genders;Madrid, Comunidad de;75th Percentile;2018;34.273,57
Both genders;Madrid, Comunidad de;75th Percentile;2017;34.094,32
Both genders;Madrid, Comunidad de;75th Percentile;2016;33.321,02
Both genders;Madrid, Comunidad de;75th Percentile;2015;33.382,74
Both genders;Madrid, Comunidad de;75th Percentile;2014;33.791,93
Both genders;Madrid, Comunidad de;75th Percentile;2013;33.557,52
Both genders;Madrid, Comunidad de;75th Percentile;2012;33.429,03
Both genders;Madrid, Comunidad de;75th Percentile;2011;33.026,05
Both genders;Madrid, Comunidad de;75th Percentile;2010;32.678,77
Both genders;Madrid, Comunidad de;75th Percentile;2009;33.000
Both genders;Madrid, Comunidad de;75th Percentile;2008;32.008,66
Both genders;Madrid, Comunidad de;90th Percentile;2024;63.685,49
Both genders;Madrid, Comunidad de;90th Percentile;2023;59.648,4
Both genders;Madrid, Comunidad de;90th Percentile;2022;57.854,73
Both genders;Madrid, Comunidad de;90th Percentile;2021;54.074,15
Both genders;Madrid, Comunidad de;90th Percentile;2020;53.499,96
Both genders;Madrid, Comunidad de;90th Percentile;2019;51.938,58
Both genders;Madrid, Comunidad de;90th Percentile;2018;51.234,14
Both genders;Madrid, Comunidad de;90th Percentile;2017;50.280,72
Both genders;Madrid, Comunidad de;90th Percentile;2016;49.427,2
Both genders;Madrid, Comunidad de;90th Percentile;2015;49.079,02
Both genders;Madrid, Comunidad de;90th Percentile;2014;49.985,99
Both genders;Madrid, Comunidad de;90th Percentile;2013;49.370,05
Both genders;Madrid, Comunidad de;90th Percentile;2012;48.734,74
Both genders;Madrid, Comunidad de;90th Percentile;2011;48.212,49
Both genders;Madrid, Comunidad de;90th Percentile;2010;47.391,3
Both genders;Madrid, Comunidad de;90th Percentile;2009;48.338,55
Both genders;Madrid, Comunidad de;90th Percentile;2008;46.748,62
Both genders;Murcia, Región de;Average;2024;26.349,36
Both genders;Murcia, Región de;Average;2023;25.329,87
Both genders;Murcia, Región de;Average;2022;23.851,69
Both genders;Murcia, Región de;Average;2021;23.281,39
Both genders;Murcia, Región de;Average;2020;22.919,62
Both genders;Murcia, Región de;Average;2019;22.123,99
Both genders;Murcia, Región de;Average;2018;21.510,59
Both genders;Murcia, Región de;Average;2017;21.309,22
Both genders;Murcia, Región de;Average;2016;21.242,5
Both genders;Murcia, Región de;Average;2015;20.928,98
Both genders;Murcia, Región de;Average;2014;20.717,07
Both genders;Murcia, Región de;Average;2013;20.449,83
Both genders;Murcia, Región de;Average;2012;20.682,01
Both genders;Murcia, Región de;Average;2011;21.077,49
Both genders;Murcia, Región de;Average;2010;20.863,37
Both genders;Murcia, Región de;Average;2009;20.430,4
Both genders;Murcia, Región de;Average;2008;18.911,75
Both genders;Murcia, Región de;10th Percentile;2024;10.167,03
Both genders;Murcia, Región de;10th Percentile;2023;10.202,36
Both genders;Murcia, Región de;10th Percentile;2022;10.017,7
Both genders;Murcia, Región de;10th Percentile;2021;9.848,06
Both genders;Murcia, Región de;10th Percentile;2020;9.150,06
Both genders;Murcia, Región de;10th Percentile;2019;8.938,21
Both genders;Murcia, Región de;10th Percentile;2018;7.812,2
Both genders;Murcia, Región de;10th Percentile;2017;7.736,02
Both genders;Murcia, Región de;10th Percentile;2016;7.567,09
Both genders;Murcia, Región de;10th Percentile;2015;7.000,71
Both genders;Murcia, Región de;10th Percentile;2014;6.893,23
Both genders;Murcia, Región de;10th Percentile;2013;6.788,11
Both genders;Murcia, Región de;10th Percentile;2012;6.926,64
Both genders;Murcia, Región de;10th Percentile;2011;7.689,32
Both genders;Murcia, Región de;10th Percentile;2010;7.481,65
Both genders;Murcia, Región de;10th Percentile;2009;7.907,43
Both genders;Murcia, Región de;10th Percentile;2008;7.895,09
Both genders;Murcia, Región de;25th Percentile;2024;16.103
Both genders;Murcia, Región de;25th Percentile;2023;15.337,92
Both genders;Murcia, Región de;25th Percentile;2022;14.182,58
Both genders;Murcia, Región de;25th Percentile;2021;13.957,39
Both genders;Murcia, Región de;25th Percentile;2020;13.433,11
Both genders;Murcia, Región de;25th Percentile;2019;13.402,47
Both genders;Murcia, Región de;25th Percentile;2018;12.970,44
Both genders;Murcia, Región de;25th Percentile;2017;12.970,82
Both genders;Murcia, Región de;25th Percentile;2016;12.265,37
Both genders;Murcia, Región de;25th Percentile;2015;12.402,24
Both genders;Murcia, Región de;25th Percentile;2014;12.437,58
Both genders;Murcia, Región de;25th Percentile;2013;11.717,17
Both genders;Murcia, Región de;25th Percentile;2012;12.444,96
Both genders;Murcia, Región de;25th Percentile;2011;12.531,12
Both genders;Murcia, Región de;25th Percentile;2010;12.589,39
Both genders;Murcia, Región de;25th Percentile;2009;12.492
Both genders;Murcia, Región de;25th Percentile;2008;12.270,02
Both genders;Murcia, Región de;50th Percentile;2024;21.672,45
Both genders;Murcia, Región de;50th Percentile;2023;21.155,77
Both genders;Murcia, Región de;50th Percentile;2022;19.903,52
Both genders;Murcia, Región de;50th Percentile;2021;19.550,44
Both genders;Murcia, Región de;50th Percentile;2020;19.377,52
Both genders;Murcia, Región de;50th Percentile;2019;18.519,9
Both genders;Murcia, Región de;50th Percentile;2018;18.641,49
Both genders;Murcia, Región de;50th Percentile;2017;18.004,27
Both genders;Murcia, Región de;50th Percentile;2016;17.551,8
Both genders;Murcia, Región de;50th Percentile;2015;17.669,43
Both genders;Murcia, Región de;50th Percentile;2014;17.459,44
Both genders;Murcia, Región de;50th Percentile;2013;17.401,72
Both genders;Murcia, Región de;50th Percentile;2012;17.650,5
Both genders;Murcia, Región de;50th Percentile;2011;17.783,88
Both genders;Murcia, Región de;50th Percentile;2010;17.436,29
Both genders;Murcia, Región de;50th Percentile;2009;17.243,78
Both genders;Murcia, Región de;50th Percentile;2008;16.321,96
Both genders;Murcia, Región de;75th Percentile;2024;32.023,13
Both genders;Murcia, Región de;75th Percentile;2023;30.967,48
Both genders;Murcia, Región de;75th Percentile;2022;28.118,12
Both genders;Murcia, Región de;75th Percentile;2021;27.924,59
Both genders;Murcia, Región de;75th Percentile;2020;27.916,74
Both genders;Murcia, Región de;75th Percentile;2019;26.780,49
Both genders;Murcia, Región de;75th Percentile;2018;26.389,63
Both genders;Murcia, Región de;75th Percentile;2017;25.903,69
Both genders;Murcia, Región de;75th Percentile;2016;25.965,86
Both genders;Murcia, Región de;75th Percentile;2015;25.534,01
Both genders;Murcia, Región de;75th Percentile;2014;26.037,36
Both genders;Murcia, Región de;75th Percentile;2013;24.994,32
Both genders;Murcia, Región de;75th Percentile;2012;25.376,92
Both genders;Murcia, Región de;75th Percentile;2011;25.639,05
Both genders;Murcia, Región de;75th Percentile;2010;24.931,06
Both genders;Murcia, Región de;75th Percentile;2009;25.574,89
Both genders;Murcia, Región de;75th Percentile;2008;22.772,06
Both genders;Murcia, Región de;90th Percentile;2024;47.062,07
Both genders;Murcia, Región de;90th Percentile;2023;45.094,48
Both genders;Murcia, Región de;90th Percentile;2022;43.134,18
Both genders;Murcia, Región de;90th Percentile;2021;40.792,34
Both genders;Murcia, Región de;90th Percentile;2020;40.712,39
Both genders;Murcia, Región de;90th Percentile;2019;39.487,41
Both genders;Murcia, Región de;90th Percentile;2018;38.035,63
Both genders;Murcia, Región de;90th Percentile;2017;37.636,3
Both genders;Murcia, Región de;90th Percentile;2016;38.678,57
Both genders;Murcia, Región de;90th Percentile;2015;37.760,04
Both genders;Murcia, Región de;90th Percentile;2014;37.981,42
Both genders;Murcia, Región de;90th Percentile;2013;37.364,14
Both genders;Murcia, Región de;90th Percentile;2012;37.008,77
Both genders;Murcia, Región de;90th Percentile;2011;37.830,95
Both genders;Murcia, Región de;90th Percentile;2010;37.678,29
Both genders;Murcia, Región de;90th Percentile;2009;37.198,28
Both genders;Murcia, Región de;90th Percentile;2008;32.830,11
Both genders;Navarra, Comunidad Foral de;Average;2024;32.605,28
Both genders;Navarra, Comunidad Foral de;Average;2023;31.199,66
Both genders;Navarra, Comunidad Foral de;Average;2022;29.189,52
Both genders;Navarra, Comunidad Foral de;Average;2021;28.459,37
Both genders;Navarra, Comunidad Foral de;Average;2020;27.995,96
Both genders;Navarra, Comunidad Foral de;Average;2019;27.493,93
Both genders;Navarra, Comunidad Foral de;Average;2018;26.364,75
Both genders;Navarra, Comunidad Foral de;Average;2017;26.329,79
Both genders;Navarra, Comunidad Foral de;Average;2016;25.468,38
Both genders;Navarra, Comunidad Foral de;Average;2015;24.863,98
Both genders;Navarra, Comunidad Foral de;Average;2014;24.700,78
Both genders;Navarra, Comunidad Foral de;Average;2013;23.836,93
Both genders;Navarra, Comunidad Foral de;Average;2012;23.784,38
Both genders;Navarra, Comunidad Foral de;Average;2011;24.384,92
Both genders;Navarra, Comunidad Foral de;Average;2010;23.824,88
Both genders;Navarra, Comunidad Foral de;Average;2009;23.657,71
Both genders;Navarra, Comunidad Foral de;Average;2008;23.342,74
Both genders;Navarra, Comunidad Foral de;10th Percentile;2024;13.951,08
Both genders;Navarra, Comunidad Foral de;10th Percentile;2023;13.679,3
Both genders;Navarra, Comunidad Foral de;10th Percentile;2022;11.415,73
Both genders;Navarra, Comunidad Foral de;10th Percentile;2021;11.359,48
Both genders;Navarra, Comunidad Foral de;10th Percentile;2020;10.536,13
Both genders;Navarra, Comunidad Foral de;10th Percentile;2019;10.070,98
Both genders;Navarra, Comunidad Foral de;10th Percentile;2018;10.548,78
Both genders;Navarra, Comunidad Foral de;10th Percentile;2017;10.059,23
Both genders;Navarra, Comunidad Foral de;10th Percentile;2016;9.390,12
Both genders;Navarra, Comunidad Foral de;10th Percentile;2015;8.720,64
Both genders;Navarra, Comunidad Foral de;10th Percentile;2014;9.363,55
Both genders;Navarra, Comunidad Foral de;10th Percentile;2013;8.114,18
Both genders;Navarra, Comunidad Foral de;10th Percentile;2012;8.228,46
Both genders;Navarra, Comunidad Foral de;10th Percentile;2011;8.950,65
Both genders;Navarra, Comunidad Foral de;10th Percentile;2010;9.104,65
Both genders;Navarra, Comunidad Foral de;10th Percentile;2009;8.553,84
Both genders;Navarra, Comunidad Foral de;10th Percentile;2008;9.036,69
Both genders;Navarra, Comunidad Foral de;25th Percentile;2024;21.014,1
Both genders;Navarra, Comunidad Foral de;25th Percentile;2023;20.426,31
Both genders;Navarra, Comunidad Foral de;25th Percentile;2022;19.042,79
Both genders;Navarra, Comunidad Foral de;25th Percentile;2021;18.302,83
Both genders;Navarra, Comunidad Foral de;25th Percentile;2020;17.908,53
Both genders;Navarra, Comunidad Foral de;25th Percentile;2019;17.770,64
Both genders;Navarra, Comunidad Foral de;25th Percentile;2018;17.607,97
Both genders;Navarra, Comunidad Foral de;25th Percentile;2017;16.530,41
Both genders;Navarra, Comunidad Foral de;25th Percentile;2016;15.700,74
Both genders;Navarra, Comunidad Foral de;25th Percentile;2015;15.145,36
Both genders;Navarra, Comunidad Foral de;25th Percentile;2014;15.725,64
Both genders;Navarra, Comunidad Foral de;25th Percentile;2013;14.543,12
Both genders;Navarra, Comunidad Foral de;25th Percentile;2012;15.083,7
Both genders;Navarra, Comunidad Foral de;25th Percentile;2011;15.921,13
Both genders;Navarra, Comunidad Foral de;25th Percentile;2010;15.233,56
Both genders;Navarra, Comunidad Foral de;25th Percentile;2009;16.032,66
Both genders;Navarra, Comunidad Foral de;25th Percentile;2008;15.445,79
Both genders;Navarra, Comunidad Foral de;50th Percentile;2024;29.385,02
Both genders;Navarra, Comunidad Foral de;50th Percentile;2023;28.145,42
Both genders;Navarra, Comunidad Foral de;50th Percentile;2022;26.334,35
Both genders;Navarra, Comunidad Foral de;50th Percentile;2021;25.606,09
Both genders;Navarra, Comunidad Foral de;50th Percentile;2020;25.211,89
Both genders;Navarra, Comunidad Foral de;50th Percentile;2019;24.978,02
Both genders;Navarra, Comunidad Foral de;50th Percentile;2018;23.602,88
Both genders;Navarra, Comunidad Foral de;50th Percentile;2017;23.450,74
Both genders;Navarra, Comunidad Foral de;50th Percentile;2016;22.578,2
Both genders;Navarra, Comunidad Foral de;50th Percentile;2015;22.423,62
Both genders;Navarra, Comunidad Foral de;50th Percentile;2014;22.258,27
Both genders;Navarra, Comunidad Foral de;50th Percentile;2013;21.360,9
Both genders;Navarra, Comunidad Foral de;50th Percentile;2012;21.476,76
Both genders;Navarra, Comunidad Foral de;50th Percentile;2011;22.511,4
Both genders;Navarra, Comunidad Foral de;50th Percentile;2010;21.633,28
Both genders;Navarra, Comunidad Foral de;50th Percentile;2009;21.482,41
Both genders;Navarra, Comunidad Foral de;50th Percentile;2008;21.369,54
Both genders;Navarra, Comunidad Foral de;75th Percentile;2024;40.140,13
Both genders;Navarra, Comunidad Foral de;75th Percentile;2023;38.533,8
Both genders;Navarra, Comunidad Foral de;75th Percentile;2022;36.697,01
Both genders;Navarra, Comunidad Foral de;75th Percentile;2021;35.407,28
Both genders;Navarra, Comunidad Foral de;75th Percentile;2020;34.937,51
Both genders;Navarra, Comunidad Foral de;75th Percentile;2019;34.246,11
Both genders;Navarra, Comunidad Foral de;75th Percentile;2018;33.138,77
Both genders;Navarra, Comunidad Foral de;75th Percentile;2017;33.107,34
Both genders;Navarra, Comunidad Foral de;75th Percentile;2016;32.568,29
Both genders;Navarra, Comunidad Foral de;75th Percentile;2015;31.787,37
Both genders;Navarra, Comunidad Foral de;75th Percentile;2014;31.237,01
Both genders;Navarra, Comunidad Foral de;75th Percentile;2013;30.567,15
Both genders;Navarra, Comunidad Foral de;75th Percentile;2012;30.476,01
Both genders;Navarra, Comunidad Foral de;75th Percentile;2011;31.098,96
Both genders;Navarra, Comunidad Foral de;75th Percentile;2010;29.813,77
Both genders;Navarra, Comunidad Foral de;75th Percentile;2009;30.200,5
Both genders;Navarra, Comunidad Foral de;75th Percentile;2008;29.766,66
Both genders;Navarra, Comunidad Foral de;90th Percentile;2024;54.862,49
Both genders;Navarra, Comunidad Foral de;90th Percentile;2023;51.570,98
Both genders;Navarra, Comunidad Foral de;90th Percentile;2022;48.080,54
Both genders;Navarra, Comunidad Foral de;90th Percentile;2021;47.382,21
Both genders;Navarra, Comunidad Foral de;90th Percentile;2020;46.609,96
Both genders;Navarra, Comunidad Foral de;90th Percentile;2019;45.543,34
Both genders;Navarra, Comunidad Foral de;90th Percentile;2018;43.695,59
Both genders;Navarra, Comunidad Foral de;90th Percentile;2017;43.798,52
Both genders;Navarra, Comunidad Foral de;90th Percentile;2016;43.388,32
Both genders;Navarra, Comunidad Foral de;90th Percentile;2015;42.123,2
Both genders;Navarra, Comunidad Foral de;90th Percentile;2014;40.996,45
Both genders;Navarra, Comunidad Foral de;90th Percentile;2013;40.487,47
Both genders;Navarra, Comunidad Foral de;90th Percentile;2012;39.747,7
Both genders;Navarra, Comunidad Foral de;90th Percentile;2011;40.218,52
Both genders;Navarra, Comunidad Foral de;90th Percentile;2010;38.956,76
Both genders;Navarra, Comunidad Foral de;90th Percentile;2009;38.798,64
Both genders;Navarra, Comunidad Foral de;90th Percentile;2008;37.822,7
Both genders;País Vasco;Average;2024;35.170,28
Both genders;País Vasco;Average;2023;33.504,92
Both genders;País Vasco;Average;2022;32.313,73
Both genders;País Vasco;Average;2021;31.063,68
Both genders;País Vasco;Average;2020;30.224,16
Both genders;País Vasco;Average;2019;29.476,21
Both genders;País Vasco;Average;2018;28.470,94
Both genders;País Vasco;Average;2017;28.204,49
Both genders;País Vasco;Average;2016;27.480,71
Both genders;País Vasco;Average;2015;27.571,31
Both genders;País Vasco;Average;2014;27.786,57
Both genders;País Vasco;Average;2013;26.915,07
Both genders;País Vasco;Average;2012;26.535,61
Both genders;País Vasco;Average;2011;26.370,36
Both genders;País Vasco;Average;2010;26.593,7
Both genders;País Vasco;Average;2009;26.162,45
Both genders;País Vasco;Average;2008;25.547,13
Both genders;País Vasco;10th Percentile;2024;14.169,72
Both genders;País Vasco;10th Percentile;2023;13.616,19
Both genders;País Vasco;10th Percentile;2022;12.609,48
Both genders;País Vasco;10th Percentile;2021;12.481,42
Both genders;País Vasco;10th Percentile;2020;11.578,19
Both genders;País Vasco;10th Percentile;2019;10.754,04
Both genders;País Vasco;10th Percentile;2018;9.824,86
Both genders;País Vasco;10th Percentile;2017;10.126,72
Both genders;País Vasco;10th Percentile;2016;9.549,97
Both genders;País Vasco;10th Percentile;2015;9.876
Both genders;País Vasco;10th Percentile;2014;9.087,11
Both genders;País Vasco;10th Percentile;2013;9.397,69
Both genders;País Vasco;10th Percentile;2012;9.057,48
Both genders;País Vasco;10th Percentile;2011;9.596,42
Both genders;País Vasco;10th Percentile;2010;9.725,86
Both genders;País Vasco;10th Percentile;2009;10.248,5
Both genders;País Vasco;10th Percentile;2008;9.996
Both genders;País Vasco;25th Percentile;2024;21.433
Both genders;País Vasco;25th Percentile;2023;20.646,01
Both genders;País Vasco;25th Percentile;2022;19.177
Both genders;País Vasco;25th Percentile;2021;19.000,72
Both genders;País Vasco;25th Percentile;2020;18.460,05
Both genders;País Vasco;25th Percentile;2019;17.686
Both genders;País Vasco;25th Percentile;2018;16.813,31
Both genders;País Vasco;25th Percentile;2017;16.997
Both genders;País Vasco;25th Percentile;2016;16.233,05
Both genders;País Vasco;25th Percentile;2015;16.617,8
Both genders;País Vasco;25th Percentile;2014;16.780,23
Both genders;País Vasco;25th Percentile;2013;15.951,23
Both genders;País Vasco;25th Percentile;2012;16.379,11
Both genders;País Vasco;25th Percentile;2011;16.552
Both genders;País Vasco;25th Percentile;2010;16.544,33
Both genders;País Vasco;25th Percentile;2009;16.400,34
Both genders;País Vasco;25th Percentile;2008;15.984,69
Both genders;País Vasco;50th Percentile;2024;31.912,13
Both genders;País Vasco;50th Percentile;2023;30.190,8
Both genders;País Vasco;50th Percentile;2022;28.857,03
Both genders;País Vasco;50th Percentile;2021;27.884
Both genders;País Vasco;50th Percentile;2020;26.788,95
Both genders;País Vasco;50th Percentile;2019;26.104
Both genders;País Vasco;50th Percentile;2018;25.427,64
Both genders;País Vasco;50th Percentile;2017;25.584
Both genders;País Vasco;50th Percentile;2016;24.939
Both genders;País Vasco;50th Percentile;2015;25.171,7
Both genders;País Vasco;50th Percentile;2014;25.600,93
Both genders;País Vasco;50th Percentile;2013;23.728,74
Both genders;País Vasco;50th Percentile;2012;23.974,14
Both genders;País Vasco;50th Percentile;2011;24.197,46
Both genders;País Vasco;50th Percentile;2010;23.799,14
Both genders;País Vasco;50th Percentile;2009;23.855,99
Both genders;País Vasco;50th Percentile;2008;23.143,68
Both genders;País Vasco;75th Percentile;2024;45.393,22
Both genders;País Vasco;75th Percentile;2023;43.638,13
Both genders;País Vasco;75th Percentile;2022;42.369,94
Both genders;País Vasco;75th Percentile;2021;40.131
Both genders;País Vasco;75th Percentile;2020;39.366,94
Both genders;País Vasco;75th Percentile;2019;38.871
Both genders;País Vasco;75th Percentile;2018;37.658,72
Both genders;País Vasco;75th Percentile;2017;36.944
Both genders;País Vasco;75th Percentile;2016;36.137,22
Both genders;País Vasco;75th Percentile;2015;35.972,97
Both genders;País Vasco;75th Percentile;2014;36.831,9
Both genders;País Vasco;75th Percentile;2013;35.099,3
Both genders;País Vasco;75th Percentile;2012;34.568,08
Both genders;País Vasco;75th Percentile;2011;34.694
Both genders;País Vasco;75th Percentile;2010;34.350,63
Both genders;País Vasco;75th Percentile;2009;34.052,95
Both genders;País Vasco;75th Percentile;2008;32.833,2
Both genders;País Vasco;90th Percentile;2024;58.049,5
Both genders;País Vasco;90th Percentile;2023;55.947,31
Both genders;País Vasco;90th Percentile;2022;54.446,25
Both genders;País Vasco;90th Percentile;2021;51.493
Both genders;País Vasco;90th Percentile;2020;50.446
Both genders;País Vasco;90th Percentile;2019;49.426
Both genders;País Vasco;90th Percentile;2018;48.542
Both genders;País Vasco;90th Percentile;2017;46.946
Both genders;País Vasco;90th Percentile;2016;46.823
Both genders;País Vasco;90th Percentile;2015;45.838,61
Both genders;País Vasco;90th Percentile;2014;47.126,71
Both genders;País Vasco;90th Percentile;2013;45.945
Both genders;País Vasco;90th Percentile;2012;44.429,25
Both genders;País Vasco;90th Percentile;2011;42.912,74
Both genders;País Vasco;90th Percentile;2010;45.612,02
Both genders;País Vasco;90th Percentile;2009;43.083,24
Both genders;País Vasco;90th Percentile;2008;42.336,35
Both genders;Rioja, La;Average;2024;27.855,4
Both genders;Rioja, La;Average;2023;26.319,06
Both genders;Rioja, La;Average;2022;24.903,38
Both genders;Rioja, La;Average;2021;23.716,88
Both genders;Rioja, La;Average;2020;23.292,63
Both genders;Rioja, La;Average;2019;22.877,13
Both genders;Rioja, La;Average;2018;22.641,17
Both genders;Rioja, La;Average;2017;22.234,21
Both genders;Rioja, La;Average;2016;21.999,02
Both genders;Rioja, La;Average;2015;21.756,79
Both genders;Rioja, La;Average;2014;21.954,1
Both genders;Rioja, La;Average;2013;20.628,81
Both genders;Rioja, La;Average;2012;20.346,24
Both genders;Rioja, La;Average;2011;20.996,76
Both genders;Rioja, La;Average;2010;21.035,86
Both genders;Rioja, La;Average;2009;21.179,93
Both genders;Rioja, La;Average;2008;20.674,16
Both genders;Rioja, La;10th Percentile;2024;12.188,08
Both genders;Rioja, La;10th Percentile;2023;11.829,18
Both genders;Rioja, La;10th Percentile;2022;9.750,51
Both genders;Rioja, La;10th Percentile;2021;9.764,83
Both genders;Rioja, La;10th Percentile;2020;9.347,79
Both genders;Rioja, La;10th Percentile;2019;8.516,62
Both genders;Rioja, La;10th Percentile;2018;8.801,47
Both genders;Rioja, La;10th Percentile;2017;8.389,56
Both genders;Rioja, La;10th Percentile;2016;8.116,12
Both genders;Rioja, La;10th Percentile;2015;7.519,28
Both genders;Rioja, La;10th Percentile;2014;7.937,79
Both genders;Rioja, La;10th Percentile;2013;7.139,23
Both genders;Rioja, La;10th Percentile;2012;7.539,29
Both genders;Rioja, La;10th Percentile;2011;8.163,78
Both genders;Rioja, La;10th Percentile;2010;8.196,91
Both genders;Rioja, La;10th Percentile;2009;8.803,96
Both genders;Rioja, La;10th Percentile;2008;8.604,54
Both genders;Rioja, La;25th Percentile;2024;17.718,12
Both genders;Rioja, La;25th Percentile;2023;17.209,84
Both genders;Rioja, La;25th Percentile;2022;15.502,44
Both genders;Rioja, La;25th Percentile;2021;15.016,92
Both genders;Rioja, La;25th Percentile;2020;14.649,98
Both genders;Rioja, La;25th Percentile;2019;14.235,4
Both genders;Rioja, La;25th Percentile;2018;14.275,96
Both genders;Rioja, La;25th Percentile;2017;13.717,73
Both genders;Rioja, La;25th Percentile;2016;13.830,08
Both genders;Rioja, La;25th Percentile;2015;13.817,14
Both genders;Rioja, La;25th Percentile;2014;14.027,8
Both genders;Rioja, La;25th Percentile;2013;12.762,86
Both genders;Rioja, La;25th Percentile;2012;12.728,06
Both genders;Rioja, La;25th Percentile;2011;13.390,08
Both genders;Rioja, La;25th Percentile;2010;13.360,5
Both genders;Rioja, La;25th Percentile;2009;14.194,56
Both genders;Rioja, La;25th Percentile;2008;13.771,38
Both genders;Rioja, La;50th Percentile;2024;24.501,28
Both genders;Rioja, La;50th Percentile;2023;23.156,34
Both genders;Rioja, La;50th Percentile;2022;22.041,59
Both genders;Rioja, La;50th Percentile;2021;20.930,21
Both genders;Rioja, La;50th Percentile;2020;20.432,36
Both genders;Rioja, La;50th Percentile;2019;19.944
Both genders;Rioja, La;50th Percentile;2018;19.995,84
Both genders;Rioja, La;50th Percentile;2017;19.539,48
Both genders;Rioja, La;50th Percentile;2016;19.507,74
Both genders;Rioja, La;50th Percentile;2015;19.136,19
Both genders;Rioja, La;50th Percentile;2014;19.049,29
Both genders;Rioja, La;50th Percentile;2013;17.764,74
Both genders;Rioja, La;50th Percentile;2012;17.897,06
Both genders;Rioja, La;50th Percentile;2011;18.615,48
Both genders;Rioja, La;50th Percentile;2010;18.632,33
Both genders;Rioja, La;50th Percentile;2009;18.562,9
Both genders;Rioja, La;50th Percentile;2008;17.826,9
Both genders;Rioja, La;75th Percentile;2024;34.568,19
Both genders;Rioja, La;75th Percentile;2023;32.671,96
Both genders;Rioja, La;75th Percentile;2022;30.778,45
Both genders;Rioja, La;75th Percentile;2021;29.041,39
Both genders;Rioja, La;75th Percentile;2020;28.324,56
Both genders;Rioja, La;75th Percentile;2019;27.989,54
Both genders;Rioja, La;75th Percentile;2018;27.740,44
Both genders;Rioja, La;75th Percentile;2017;27.128,63
Both genders;Rioja, La;75th Percentile;2016;26.549,41
Both genders;Rioja, La;75th Percentile;2015;26.421,87
Both genders;Rioja, La;75th Percentile;2014;27.086,27
Both genders;Rioja, La;75th Percentile;2013;24.738,01
Both genders;Rioja, La;75th Percentile;2012;24.831,2
Both genders;Rioja, La;75th Percentile;2011;25.597,73
Both genders;Rioja, La;75th Percentile;2010;25.442,22
Both genders;Rioja, La;75th Percentile;2009;25.283,07
Both genders;Rioja, La;75th Percentile;2008;24.455,89
Both genders;Rioja, La;90th Percentile;2024;47.172,71
Both genders;Rioja, La;90th Percentile;2023;44.238,76
Both genders;Rioja, La;90th Percentile;2022;43.292,21
Both genders;Rioja, La;90th Percentile;2021;40.324,79
Both genders;Rioja, La;90th Percentile;2020;40.557,91
Both genders;Rioja, La;90th Percentile;2019;39.682,46
Both genders;Rioja, La;90th Percentile;2018;38.745,96
Both genders;Rioja, La;90th Percentile;2017;38.887,91
Both genders;Rioja, La;90th Percentile;2016;38.403,19
Both genders;Rioja, La;90th Percentile;2015;37.930,89
Both genders;Rioja, La;90th Percentile;2014;38.226,87
Both genders;Rioja, La;90th Percentile;2013;35.744,94
Both genders;Rioja, La;90th Percentile;2012;35.007,44
Both genders;Rioja, La;90th Percentile;2011;35.940,42
Both genders;Rioja, La;90th Percentile;2010;36.600,81
Both genders;Rioja, La;90th Percentile;2009;36.361,38
Both genders;Rioja, La;90th Percentile;2008;35.549,19
